date,forecast_sales
2024-01-02,1127.7187444157619
2024-01-03,1127.7157599186523
2024-01-04,1047.837876876034
2024-01-05,1254.962096852311
2024-01-06,1326.225750808004
2024-01-07,1323.7087742028739
2024-01-08,1271.5936253545099
2024-01-09,1135.3134347966802
2024-01-10,1003.8937003984533
2024-01-11,1104.638761038609
2024-01-12,1197.1157113239028
2024-01-13,1284.8609197971823
2024-01-14,1408.44045834683
2024-01-15,1352.6895673991376
2024-01-16,1131.7164240960908
2024-01-17,991.12858232494
2024-01-18,1104.4745522310143
2024-01-19,1188.9532946834097
2024-01-20,1277.8483159590016
2024-01-21,1410.2248030790818
2024-01-22,1354.2202696241093
2024-01-23,1127.3386398838027
2024-01-24,986.1111978116536
2024-01-25,1100.3362526838503
2024-01-26,1184.2570112548092
2024-01-27,1273.232247626553
2024-01-28,1406.222441668318
2024-01-29,1350.2002131954532
2024-01-30,1122.9063860898675
2024-01-31,981.634323189406
